Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Velo , Low ,3850.50,120.00,20.00,77010.00,2310.30,74699.70,38505.00,36194.70,41643.00,4.00, April ,2014.00
Channel Partners,Germany, VTT , Low ,2479.00,250.00,12.00,29748.00,892.44,28855.56,7437.00,21418.56,41640.00,1.00, January ,2014.00
Midmarket,Mexico, Montana , Low ,2031.00,5.00,15.00,30465.00,1218.60,29246.40,20310.00,8936.40,41649.00,10.00, October ,2014.00
Midmarket,Mexico, Paseo , Low ,2031.00,10.00,15.00,30465.00,1218.60,29246.40,20310.00,8936.40,41649.00,10.00, October ,2014.00
Midmarket,France, Paseo , Low ,2261.00,10.00,15.00,33915.00,1356.60,32558.40,22610.00,9948.40,41286.00,12.00, December ,2013.00
Government,United States of America, Velo , Low ,736.00,120.00,20.00,14720.00,588.80,14131.20,7360.00,6771.20,41283.00,9.00, September ,2013.00
Government,Canada, Carretera , Low ,2851.00,3.00,7.00,19957.00,798.28,19158.72,14255.00,4903.72,41284.00,10.00, October ,2013.00
Small Business,Germany, Carretera , Low ,2021.00,3.00,300.00," $6,06,300.00 ",24252.00," $5,82,048.00 "," $5,05,250.00 ",76798.00,41649.00,10.00, October ,2014.00
Government,United States of America, Carretera , Low ,274.00,3.00,350.00,95900.00,3836.00,92064.00,71240.00,20824.00,41651.00,12.00, December ,2014.00
Midmarket,Canada, Montana , Low ,1967.00,5.00,15.00,29505.00,1180.20,28324.80,19670.00,8654.80,41642.00,3.00, March ,2014.00
Small Business,Germany, Montana , Low ,1859.00,5.00,300.00," $5,57,700.00 ",22308.00," $5,35,392.00 "," $4,64,750.00 ",70642.00,41647.00,8.00, August ,2014.00
Government,Canada, Montana , Low ,2851.00,5.00,7.00,19957.00,798.28,19158.72,14255.00,4903.72,41284.00,10.00, October ,2013.00
Small Business,Germany, Montana , Low ,2021.00,5.00,300.00," $6,06,300.00 ",24252.00," $5,82,048.00 "," $5,05,250.00 ",76798.00,41649.00,10.00, October ,2014.00
Enterprise,Mexico, Montana , Low ,1138.00,5.00,125.00," $1,42,250.00 ",5690.00," $1,36,560.00 "," $1,36,560.00 ", $-   ,41651.00,12.00, December ,2014.00
Government,Canada, Paseo , Low ,4251.00,10.00,7.00,29757.00,1190.28,28566.72,21255.00,7311.72,41640.00,1.00, January ,2014.00
Enterprise,Germany, Paseo , Low ,795.00,10.00,125.00,99375.00,3975.00,95400.00,95400.00, $-   ,41642.00,3.00, March ,2014.00
Small Business,Germany, Paseo , Low ,1414.50,10.00,300.00," $4,24,350.00 ",16974.00," $4,07,376.00 "," $3,53,625.00 ",53751.00,41643.00,4.00, April ,2014.00
Small Business,United States of America, Paseo , Low ,2918.00,10.00,300.00," $8,75,400.00 ",35016.00," $8,40,384.00 "," $7,29,500.00 "," $1,10,884.00 ",41644.00,5.00, May ,2014.00
Government,United States of America, Paseo , Low ,3450.00,10.00,350.00," $12,07,500.00 ",48300.00," $11,59,200.00 "," $8,97,000.00 "," $2,62,200.00 ",41646.00,7.00, July ,2014.00
Enterprise,France, Paseo , Low ,2988.00,10.00,125.00," $3,73,500.00 ",14940.00," $3,58,560.00 "," $3,58,560.00 ", $-   ,41646.00,7.00, July ,2014.00
Midmarket,Canada, Paseo , Low ,218.00,10.00,15.00,3270.00,130.80,3139.20,2180.00,959.20,41648.00,9.00, September ,2014.00
Government,Canada, Paseo , Low ,2074.00,10.00,20.00,41480.00,1659.20,39820.80,20740.00,19080.80,41648.00,9.00, September ,2014.00
Government,United States of America, Paseo , Low ,1056.00,10.00,20.00,21120.00,844.80,20275.20,10560.00,9715.20,41648.00,9.00, September ,2014.00
Midmarket,United States of America, Paseo , Low ,671.00,10.00,15.00,10065.00,402.60,9662.40,6710.00,2952.40,41284.00,10.00, October ,2013.00
Midmarket,Mexico, Paseo , Low ,1514.00,10.00,15.00,22710.00,908.40,21801.60,15140.00,6661.60,41284.00,10.00, October ,2013.00
Government,United States of America, Paseo , Low ,274.00,10.00,350.00,95900.00,3836.00,92064.00,71240.00,20824.00,41651.00,12.00, December ,2014.00
Enterprise,Mexico, Paseo , Low ,1138.00,10.00,125.00," $1,42,250.00 ",5690.00," $1,36,560.00 "," $1,36,560.00 ", $-   ,41651.00,12.00, December ,2014.00
Channel Partners,United States of America, Velo , Low ,1465.00,120.00,12.00,17580.00,703.20,16876.80,4395.00,12481.80,41642.00,3.00, March ,2014.00
Government,Canada, Velo , Low ,2646.00,120.00,20.00,52920.00,2116.80,50803.20,26460.00,24343.20,41283.00,9.00, September ,2013.00
Government,France, Velo , Low ,2177.00,120.00,350.00," $7,61,950.00 ",30478.00," $7,31,472.00 "," $5,66,020.00 "," $1,65,452.00 ",41649.00,10.00, October ,2014.00
Channel Partners,France, VTT , Low ,866.00,250.00,12.00,10392.00,415.68,9976.32,2598.00,7378.32,41644.00,5.00, May ,2014.00
Government,United States of America, VTT , Low ,349.00,250.00,350.00," $1,22,150.00 ",4886.00," $1,17,264.00 ",90740.00,26524.00,41283.00,9.00, September ,2013.00
Government,France, VTT , Low ,2177.00,250.00,350.00," $7,61,950.00 ",30478.00," $7,31,472.00 "," $5,66,020.00 "," $1,65,452.00 ",41649.00,10.00, October ,2014.00
Midmarket,Mexico, VTT , Low ,1514.00,250.00,15.00,22710.00,908.40,21801.60,15140.00,6661.60,41284.00,10.00, October ,2013.00
Government,Mexico, Amarilla , Low ,1865.00,260.00,350.00," $6,52,750.00 ",26110.00," $6,26,640.00 "," $4,84,900.00 "," $1,41,740.00 ",41641.00,2.00, February ,2014.00
Enterprise,Mexico, Amarilla , Low ,1074.00,260.00,125.00," $1,34,250.00 ",5370.00," $1,28,880.00 "," $1,28,880.00 ", $-   ,41643.00,4.00, April ,2014.00
Government,Germany, Amarilla , Low ,1907.00,260.00,350.00," $6,67,450.00 ",26698.00," $6,40,752.00 "," $4,95,820.00 "," $1,44,932.00 ",41648.00,9.00, September ,2014.00
Midmarket,United States of America, Amarilla , Low ,671.00,260.00,15.00,10065.00,402.60,9662.40,6710.00,2952.40,41284.00,10.00, October ,2013.00
Government,Canada, Amarilla , Low ,1778.00,260.00,350.00," $6,22,300.00 ",24892.00," $5,97,408.00 "," $4,62,280.00 "," $1,35,128.00 ",41286.00,12.00, December ,2013.00
Government,Germany, Montana , Medium ,1159.00,5.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,41284.00,10.00, October ,2013.00
Government,Germany, Paseo , Medium ,1372.00,10.00,7.00,9604.00,480.20,9123.80,6860.00,2263.80,41640.00,1.00, January ,2014.00
Government,Canada, Paseo , Medium ,2349.00,10.00,7.00,16443.00,822.15,15620.85,11745.00,3875.85,41283.00,9.00, September ,2013.00
Government,Mexico, Paseo , Medium ,2689.00,10.00,7.00,18823.00,941.15,17881.85,13445.00,4436.85,41649.00,10.00, October ,2014.00
Channel Partners,Canada, Paseo , Medium ,2431.00,10.00,12.00,29172.00,1458.60,27713.40,7293.00,20420.40,41651.00,12.00, December ,2014.00
Channel Partners,Canada, Velo , Medium ,2431.00,120.00,12.00,29172.00,1458.60,27713.40,7293.00,20420.40,41651.00,12.00, December ,2014.00
Government,Mexico, VTT , Medium ,2689.00,250.00,7.00,18823.00,941.15,17881.85,13445.00,4436.85,41649.00,10.00, October ,2014.00
Government,Mexico, Amarilla , Medium ,1683.00,260.00,7.00,11781.00,589.05,11191.95,8415.00,2776.95,41646.00,7.00, July ,2014.00
Channel Partners,Mexico, Amarilla , Medium ,1123.00,260.00,12.00,13476.00,673.80,12802.20,3369.00,9433.20,41647.00,8.00, August ,2014.00
Government,Germany, Amarilla , Medium ,1159.00,260.00,7.00,8113.00,405.65,7707.35,5795.00,1912.35,41284.00,10.00, October ,2013.00
Channel Partners,France, Carretera , Medium ,1865.00,3.00,12.00,22380.00,1119.00,21261.00,5595.00,15666.00,41641.00,2.00, February ,2014.00
Channel Partners,Germany, Carretera , Medium ,1116.00,3.00,12.00,13392.00,669.60,12722.40,3348.00,9374.40,41641.00,2.00, February ,2014.00
Government,France, Carretera , Medium ,1563.00,3.00,20.00,31260.00,1563.00,29697.00,15630.00,14067.00,41644.00,5.00, May ,2014.00
Small Business,United States of America, Carretera , Medium ,991.00,3.00,300.00," $2,97,300.00 ",14865.00," $2,82,435.00 "," $2,47,750.00 ",34685.00,41645.00,6.00, June ,2014.00
Government,Germany, Carretera , Medium ,1016.00,3.00,7.00,7112.00,355.60,6756.40,5080.00,1676.40,41285.00,11.00, November ,2013.00
Midmarket,Mexico, Carretera , Medium ,2791.00,3.00,15.00,41865.00,2093.25,39771.75,27910.00,11861.75,41650.00,11.00, November ,2014.00
Government,United States of America, Carretera , Medium ,570.00,3.00,7.00,3990.00,199.50,3790.50,2850.00,940.50,41651.00,12.00, December ,2014.00
Government,France, Carretera , Medium ,2487.00,3.00,7.00,17409.00,870.45,16538.55,12435.00,4103.55,41651.00,12.00, December ,2014.00
Government,France, Montana , Medium ,1384.50,5.00,350.00," $4,84,575.00 ",24228.75," $4,60,346.25 "," $3,59,970.00 "," $1,00,376.25 ",41640.00,1.00, January ,2014.00
Enterprise,United States of America, Montana , Medium ,3627.00,5.00,125.00," $4,53,375.00 ",22668.75," $4,30,706.25 "," $4,35,240.00 ",-4533.75,41646.00,7.00, July ,2014.00
Government,Mexico, Montana , Medium ,720.00,5.00,350.00," $2,52,000.00 ",12600.00," $2,39,400.00 "," $1,87,200.00 ",52200.00,41283.00,9.00, September ,2013.00
Channel Partners,Germany, Montana , Medium ,2342.00,5.00,12.00,28104.00,1405.20,26698.80,7026.00,19672.80,41650.00,11.00, November ,2014.00
Small Business,Mexico, Montana , Medium ,1100.00,5.00,300.00," $3,30,000.00 ",16500.00," $3,13,500.00 "," $2,75,000.00 ",38500.00,41286.00,12.00, December ,2013.00
Government,France, Paseo , Medium ,1303.00,10.00,20.00,26060.00,1303.00,24757.00,13030.00,11727.00,41641.00,2.00, February ,2014.00
Enterprise,United States of America, Paseo , Medium ,2992.00,10.00,125.00," $3,74,000.00 ",18700.00," $3,55,300.00 "," $3,59,040.00 ",-3740.00,41642.00,3.00, March ,2014.00
Enterprise,France, Paseo , Medium ,2385.00,10.00,125.00," $2,98,125.00 ",14906.25," $2,83,218.75 "," $2,86,200.00 ",-2981.25,41642.00,3.00, March ,2014.00
Small Business,Mexico, Paseo , Medium ,1607.00,10.00,300.00," $4,82,100.00 ",24105.00," $4,57,995.00 "," $4,01,750.00 ",56245.00,41643.00,4.00, April ,2014.00
Government,United States of America, Paseo , Medium ,2327.00,10.00,7.00,16289.00,814.45,15474.55,11635.00,3839.55,41644.00,5.00, May ,2014.00
Small Business,United States of America, Paseo , Medium ,991.00,10.00,300.00," $2,97,300.00 ",14865.00," $2,82,435.00 "," $2,47,750.00 ",34685.00,41645.00,6.00, June ,2014.00
Government,United States of America, Paseo , Medium ,602.00,10.00,350.00," $2,10,700.00 ",10535.00," $2,00,165.00 "," $1,56,520.00 ",43645.00,41645.00,6.00, June ,2014.00
Midmarket,France, Paseo , Medium ,2620.00,10.00,15.00,39300.00,1965.00,37335.00,26200.00,11135.00,41648.00,9.00, September ,2014.00
Government,Canada, Paseo , Medium ,1228.00,10.00,350.00," $4,29,800.00 ",21490.00," $4,08,310.00 "," $3,19,280.00 ",89030.00,41284.00,10.00, October ,2013.00
Government,Canada, Paseo , Medium ,1389.00,10.00,20.00,27780.00,1389.00,26391.00,13890.00,12501.00,41284.00,10.00, October ,2013.00
Enterprise,United States of America, Paseo , Medium ,861.00,10.00,125.00," $1,07,625.00 ",5381.25," $1,02,243.75 "," $1,03,320.00 ",-1076.25,41649.00,10.00, October ,2014.00
Enterprise,France, Paseo , Medium ,704.00,10.00,125.00,88000.00,4400.00,83600.00,84480.00,-880.00,41284.00,10.00, October ,2013.00
Government,Canada, Paseo , Medium ,1802.00,10.00,20.00,36040.00,1802.00,34238.00,18020.00,16218.00,41286.00,12.00, December ,2013.00
Government,United States of America, Paseo , Medium ,2663.00,10.00,20.00,53260.00,2663.00,50597.00,26630.00,23967.00,41651.00,12.00, December ,2014.00
Government,France, Paseo , Medium ,2136.00,10.00,7.00,14952.00,747.60,14204.40,10680.00,3524.40,41286.00,12.00, December ,2013.00
Midmarket,Germany, Paseo , Medium ,2116.00,10.00,15.00,31740.00,1587.00,30153.00,21160.00,8993.00,41286.00,12.00, December ,2013.00
Midmarket,United States of America, Velo , Medium ,555.00,120.00,15.00,8325.00,416.25,7908.75,5550.00,2358.75,41640.00,1.00, January ,2014.00
Midmarket,Mexico, Velo , Medium ,2861.00,120.00,15.00,42915.00,2145.75,40769.25,28610.00,12159.25,41640.00,1.00, January ,2014.00
Enterprise,Germany, Velo , Medium ,807.00,120.00,125.00," $1,00,875.00 ",5043.75,95831.25,96840.00,-1008.75,41641.00,2.00, February ,2014.00
Government,United States of America, Velo , Medium ,602.00,120.00,350.00," $2,10,700.00 ",10535.00," $2,00,165.00 "," $1,56,520.00 ",43645.00,41645.00,6.00, June ,2014.00
Government,United States of America, Velo , Medium ,2832.00,120.00,20.00,56640.00,2832.00,53808.00,28320.00,25488.00,41647.00,8.00, August ,2014.00
Government,France, Velo , Medium ,1579.00,120.00,20.00,31580.00,1579.00,30001.00,15790.00,14211.00,41647.00,8.00, August ,2014.00
Enterprise,United States of America, Velo , Medium ,861.00,120.00,125.00," $1,07,625.00 ",5381.25," $1,02,243.75 "," $1,03,320.00 ",-1076.25,41649.00,10.00, October ,2014.00
Enterprise,France, Velo , Medium ,704.00,120.00,125.00,88000.00,4400.00,83600.00,84480.00,-880.00,41284.00,10.00, October ,2013.00
Government,France, Velo , Medium ,1033.00,120.00,20.00,20660.00,1033.00,19627.00,10330.00,9297.00,41286.00,12.00, December ,2013.00
Small Business,Germany, Velo , Medium ,1250.00,120.00,300.00," $3,75,000.00 ",18750.00," $3,56,250.00 "," $3,12,500.00 ",43750.00,41651.00,12.00, December ,2014.00
Government,Canada, VTT , Medium ,1389.00,250.00,20.00,27780.00,1389.00,26391.00,13890.00,12501.00,41284.00,10.00, October ,2013.00
Government,United States of America, VTT , Medium ,1265.00,250.00,20.00,25300.00,1265.00,24035.00,12650.00,11385.00,41285.00,11.00, November ,2013.00
Government,Germany, VTT , Medium ,2297.00,250.00,20.00,45940.00,2297.00,43643.00,22970.00,20673.00,41285.00,11.00, November ,2013.00
Government,United States of America, VTT , Medium ,2663.00,250.00,20.00,53260.00,2663.00,50597.00,26630.00,23967.00,41651.00,12.00, December ,2014.00
Government,United States of America, VTT , Medium ,570.00,250.00,7.00,3990.00,199.50,3790.50,2850.00,940.50,41651.00,12.00, December ,2014.00
Government,France, VTT , Medium ,2487.00,250.00,7.00,17409.00,870.45,16538.55,12435.00,4103.55,41651.00,12.00, December ,2014.00
Government,Germany, Amarilla , Medium ,1350.00,260.00,350.00," $4,72,500.00 ",23625.00," $4,48,875.00 "," $3,51,000.00 ",97875.00,41641.00,2.00, February ,2014.00
Government,Canada, Amarilla , Medium ,552.00,260.00,350.00," $1,93,200.00 ",9660.00," $1,83,540.00 "," $1,43,520.00 ",40020.00,41647.00,8.00, August ,2014.00
Government,Canada, Amarilla , Medium ,1228.00,260.00,350.00," $4,29,800.00 ",21490.00," $4,08,310.00 "," $3,19,280.00 ",89030.00,41284.00,10.00, October ,2013.00
Small Business,Germany, Amarilla , Medium ,1250.00,260.00,300.00," $3,75,000.00 ",18750.00," $3,56,250.00 "," $3,12,500.00 ",43750.00,41651.00,12.00, December ,2014.00
Midmarket,France, Paseo , Medium ,3801.00,10.00,15.00,57015.00,3420.90,53594.10,38010.00,15584.10,41643.00,4.00, April ,2014.00
Government,United States of America, Carretera , Medium ,1117.50,3.00,20.00,22350.00,1341.00,21009.00,11175.00,9834.00,41640.00,1.00, January ,2014.00
Midmarket,Canada, Carretera , Medium ,2844.00,3.00,15.00,42660.00,2559.60,40100.40,28440.00,11660.40,41645.00,6.00, June ,2014.00
Channel Partners,Mexico, Carretera , Medium ,562.00,3.00,12.00,6744.00,404.64,6339.36,1686.00,4653.36,41648.00,9.00, September ,2014.00
Channel Partners,Canada, Carretera , Medium ,2299.00,3.00,12.00,27588.00,1655.28,25932.72,6897.00,19035.72,41284.00,10.00, October ,2013.00
Midmarket,United States of America, Carretera , Medium ,2030.00,3.00,15.00,30450.00,1827.00,28623.00,20300.00,8323.00,41650.00,11.00, November ,2014.00
Government,United States of America, Carretera , Medium ,263.00,3.00,7.00,1841.00,110.46,1730.54,1315.00,415.54,41285.00,11.00, November ,2013.00
Enterprise,Germany, Carretera , Medium ,887.00,3.00,125.00," $1,10,875.00 ",6652.50," $1,04,222.50 "," $1,06,440.00 ",-2217.50,41286.00,12.00, December ,2013.00
Government,Mexico, Montana , Medium ,980.00,5.00,350.00," $3,43,000.00 ",20580.00," $3,22,420.00 "," $2,54,800.00 ",67620.00,41643.00,4.00, April ,2014.00
Government,Germany, Montana , Medium ,1460.00,5.00,350.00," $5,11,000.00 ",30660.00," $4,80,340.00 "," $3,79,600.00 "," $1,00,740.00 ",41644.00,5.00, May ,2014.00
Government,France, Montana , Medium ,1403.00,5.00,7.00,9821.00,589.26,9231.74,7015.00,2216.74,41284.00,10.00, October ,2013.00
Channel Partners,United States of America, Montana , Medium ,2723.00,5.00,12.00,32676.00,1960.56,30715.44,8169.00,22546.44,41650.00,11.00, November ,2014.00
Government,France, Paseo , Medium ,1496.00,10.00,350.00," $5,23,600.00 ",31416.00," $4,92,184.00 "," $3,88,960.00 "," $1,03,224.00 ",41645.00,6.00, June ,2014.00
Channel Partners,Canada, Paseo , Medium ,2299.00,10.00,12.00,27588.00,1655.28,25932.72,6897.00,19035.72,41284.00,10.00, October ,2013.00
Government,United States of America, Paseo , Medium ,727.00,10.00,350.00," $2,54,450.00 ",15267.00," $2,39,183.00 "," $1,89,020.00 ",50163.00,41284.00,10.00, October ,2013.00
Enterprise,Canada, Velo , Medium ,952.00,120.00,125.00," $1,19,000.00 ",7140.00," $1,11,860.00 "," $1,14,240.00 ",-2380.00,41641.00,2.00, February ,2014.00
Enterprise,United States of America, Velo , Medium ,2755.00,120.00,125.00," $3,44,375.00 ",20662.50," $3,23,712.50 "," $3,30,600.00 ",-6887.50,41641.00,2.00, February ,2014.00
Midmarket,Germany, Velo , Medium ,1530.00,120.00,15.00,22950.00,1377.00,21573.00,15300.00,6273.00,41644.00,5.00, May ,2014.00
Government,France, Velo , Medium ,1496.00,120.00,350.00," $5,23,600.00 ",31416.00," $4,92,184.00 "," $3,88,960.00 "," $1,03,224.00 ",41645.00,6.00, June ,2014.00
Government,Mexico, Velo , Medium ,1498.00,120.00,7.00,10486.00,629.16,9856.84,7490.00,2366.84,41645.00,6.00, June ,2014.00
Small Business,France, Velo , Medium ,1221.00,120.00,300.00," $3,66,300.00 ",21978.00," $3,44,322.00 "," $3,05,250.00 ",39072.00,41284.00,10.00, October ,2013.00
Government,France, Velo , Medium ,2076.00,120.00,350.00," $7,26,600.00 ",43596.00," $6,83,004.00 "," $5,39,760.00 "," $1,43,244.00 ",41284.00,10.00, October ,2013.00
Midmarket,Canada, VTT , Medium ,2844.00,250.00,15.00,42660.00,2559.60,40100.40,28440.00,11660.40,41645.00,6.00, June ,2014.00
Government,Mexico, VTT , Medium ,1498.00,250.00,7.00,10486.00,629.16,9856.84,7490.00,2366.84,41645.00,6.00, June ,2014.00
Small Business,France, VTT , Medium ,1221.00,250.00,300.00," $3,66,300.00 ",21978.00," $3,44,322.00 "," $3,05,250.00 ",39072.00,41284.00,10.00, October ,2013.00
Government,Mexico, VTT , Medium ,1123.00,250.00,20.00,22460.00,1347.60,21112.40,11230.00,9882.40,41285.00,11.00, November ,2013.00
Small Business,Canada, VTT , Medium ,2436.00,250.00,300.00," $7,30,800.00 ",43848.00," $6,86,952.00 "," $6,09,000.00 ",77952.00,41286.00,12.00, December ,2013.00
Enterprise,France, Amarilla , Medium ,1987.50,260.00,125.00," $2,48,437.50 ",14906.25," $2,33,531.25 "," $2,38,500.00 ",-4968.75,41640.00,1.00, January ,2014.00
Government,Mexico, Amarilla , Medium ,1679.00,260.00,350.00," $5,87,650.00 ",35259.00," $5,52,391.00 "," $4,36,540.00 "," $1,15,851.00 ",41648.00,9.00, September ,2014.00
Government,United States of America, Amarilla , Medium ,727.00,260.00,350.00," $2,54,450.00 ",15267.00," $2,39,183.00 "," $1,89,020.00 ",50163.00,41284.00,10.00, October ,2013.00
Government,France, Amarilla , Medium ,1403.00,260.00,7.00,9821.00,589.26,9231.74,7015.00,2216.74,41284.00,10.00, October ,2013.00
Government,France, Amarilla , Medium ,2076.00,260.00,350.00," $7,26,600.00 ",43596.00," $6,83,004.00 "," $5,39,760.00 "," $1,43,244.00 ",41284.00,10.00, October ,2013.00
Government,France, Montana , Medium ,1757.00,5.00,20.00,35140.00,2108.40,33031.60,17570.00,15461.60,41284.00,10.00, October ,2013.00
Midmarket,United States of America, Paseo , Medium ,2198.00,10.00,15.00,32970.00,1978.20,30991.80,21980.00,9011.80,41647.00,8.00, August ,2014.00
Midmarket,Germany, Paseo , Medium ,1743.00,10.00,15.00,26145.00,1568.70,24576.30,17430.00,7146.30,41647.00,8.00, August ,2014.00
Midmarket,United States of America, Paseo , Medium ,1153.00,10.00,15.00,17295.00,1037.70,16257.30,11530.00,4727.30,41649.00,10.00, October ,2014.00
Government,France, Paseo , Medium ,1757.00,10.00,20.00,35140.00,2108.40,33031.60,17570.00,15461.60,41284.00,10.00, October ,2013.00
Government,Germany, Velo , Medium ,1001.00,120.00,20.00,20020.00,1201.20,18818.80,10010.00,8808.80,41647.00,8.00, August ,2014.00
Government,Mexico, Velo , Medium ,1333.00,120.00,7.00,9331.00,559.86,8771.14,6665.00,2106.14,41650.00,11.00, November ,2014.00
Midmarket,United States of America, VTT , Medium ,1153.00,250.00,15.00,17295.00,1037.70,16257.30,11530.00,4727.30,41649.00,10.00, October ,2014.00
Channel Partners,Mexico, Carretera , Medium ,727.00,3.00,12.00,8724.00,610.68,8113.32,2181.00,5932.32,41641.00,2.00, February ,2014.00
Channel Partners,Canada, Carretera , Medium ,1884.00,3.00,12.00,22608.00,1582.56,21025.44,5652.00,15373.44,41647.00,8.00, August ,2014.00
Government,Mexico, Carretera , Medium ,1834.00,3.00,20.00,36680.00,2567.60,34112.40,18340.00,15772.40,41283.00,9.00, September ,2013.00
Channel Partners,Mexico, Montana , Medium ,2340.00,5.00,12.00,28080.00,1965.60,26114.40,7020.00,19094.40,41640.00,1.00, January ,2014.00
Channel Partners,France, Montana , Medium ,2342.00,5.00,12.00,28104.00,1967.28,26136.72,7026.00,19110.72,41650.00,11.00, November ,2014.00
Government,France, Paseo , Medium ,1031.00,10.00,7.00,7217.00,505.19,6711.81,5155.00,1556.81,41283.00,9.00, September ,2013.00
Midmarket,Canada, Velo , Medium ,1262.00,120.00,15.00,18930.00,1325.10,17604.90,12620.00,4984.90,41644.00,5.00, May ,2014.00
Government,Canada, Velo , Medium ,1135.00,120.00,7.00,7945.00,556.15,7388.85,5675.00,1713.85,41645.00,6.00, June ,2014.00
Government,United States of America, Velo , Medium ,547.00,120.00,7.00,3829.00,268.03,3560.97,2735.00,825.97,41650.00,11.00, November ,2014.00
Government,Canada, Velo , Medium ,1582.00,120.00,7.00,11074.00,775.18,10298.82,7910.00,2388.82,41651.00,12.00, December ,2014.00
Channel Partners,France, VTT , Medium ,1738.50,250.00,12.00,20862.00,1460.34,19401.66,5215.50,14186.16,41643.00,4.00, April ,2014.00
Channel Partners,Germany, VTT , Medium ,2215.00,250.00,12.00,26580.00,1860.60,24719.40,6645.00,18074.40,41283.00,9.00, September ,2013.00
Government,Canada, VTT , Medium ,1582.00,250.00,7.00,11074.00,775.18,10298.82,7910.00,2388.82,41651.00,12.00, December ,2014.00
Government,Canada, Amarilla , Medium ,1135.00,260.00,7.00,7945.00,556.15,7388.85,5675.00,1713.85,41645.00,6.00, June ,2014.00
Government,United States of America, Carretera , Medium ,1761.00,3.00,350.00," $6,16,350.00 ",43144.50," $5,73,205.50 "," $4,57,860.00 "," $1,15,345.50 ",41642.00,3.00, March ,2014.00
Small Business,France, Carretera , Medium ,448.00,3.00,300.00," $1,34,400.00 ",9408.00," $1,24,992.00 "," $1,12,000.00 ",12992.00,41645.00,6.00, June ,2014.00
Small Business,France, Carretera , Medium ,2181.00,3.00,300.00," $6,54,300.00 ",45801.00," $6,08,499.00 "," $5,45,250.00 ",63249.00,41649.00,10.00, October ,2014.00
Government,France, Montana , Medium ,1976.00,5.00,20.00,39520.00,2766.40,36753.60,19760.00,16993.60,41649.00,10.00, October ,2014.00
Small Business,France, Montana , Medium ,2181.00,5.00,300.00," $6,54,300.00 ",45801.00," $6,08,499.00 "," $5,45,250.00 ",63249.00,41649.00,10.00, October ,2014.00
Enterprise,Germany, Montana , Medium ,2500.00,5.00,125.00," $3,12,500.00 ",21875.00," $2,90,625.00 "," $3,00,000.00 ",-9375.00,41285.00,11.00, November ,2013.00
Small Business,Canada, Paseo , Medium ,1702.00,10.00,300.00," $5,10,600.00 ",35742.00," $4,74,858.00 "," $4,25,500.00 ",49358.00,41644.00,5.00, May ,2014.00
Small Business,France, Paseo , Medium ,448.00,10.00,300.00," $1,34,400.00 ",9408.00," $1,24,992.00 "," $1,12,000.00 ",12992.00,41645.00,6.00, June ,2014.00
Enterprise,Germany, Paseo , Medium ,3513.00,10.00,125.00," $4,39,125.00 ",30738.75," $4,08,386.25 "," $4,21,560.00 ",-13173.75,41646.00,7.00, July ,2014.00
Midmarket,France, Paseo , Medium ,2101.00,10.00,15.00,31515.00,2206.05,29308.95,21010.00,8298.95,41647.00,8.00, August ,2014.00
Midmarket,United States of America, Paseo , Medium ,2931.00,10.00,15.00,43965.00,3077.55,40887.45,29310.00,11577.45,41283.00,9.00, September ,2013.00
Government,France, Paseo , Medium ,1535.00,10.00,20.00,30700.00,2149.00,28551.00,15350.00,13201.00,41648.00,9.00, September ,2014.00
Small Business,Germany, Paseo , Medium ,1123.00,10.00,300.00," $3,36,900.00 ",23583.00," $3,13,317.00 "," $2,80,750.00 ",32567.00,41283.00,9.00, September ,2013.00
Small Business,Canada, Paseo , Medium ,1404.00,10.00,300.00," $4,21,200.00 ",29484.00," $3,91,716.00 "," $3,51,000.00 ",40716.00,41285.00,11.00, November ,2013.00
Channel Partners,Mexico, Paseo , Medium ,2763.00,10.00,12.00,33156.00,2320.92,30835.08,8289.00,22546.08,41285.00,11.00, November ,2013.00
Government,Germany, Paseo , Medium ,2125.00,10.00,7.00,14875.00,1041.25,13833.75,10625.00,3208.75,41286.00,12.00, December ,2013.00
Small Business,France, Velo , Medium ,1659.00,120.00,300.00," $4,97,700.00 ",34839.00," $4,62,861.00 "," $4,14,750.00 ",48111.00,41646.00,7.00, July ,2014.00
Government,Mexico, Velo , Medium ,609.00,120.00,20.00,12180.00,852.60,11327.40,6090.00,5237.40,41647.00,8.00, August ,2014.00
Enterprise,Germany, Velo , Medium ,2087.00,120.00,125.00," $2,60,875.00 ",18261.25," $2,42,613.75 "," $2,50,440.00 ",-7826.25,41648.00,9.00, September ,2014.00
Government,France, Velo , Medium ,1976.00,120.00,20.00,39520.00,2766.40,36753.60,19760.00,16993.60,41649.00,10.00, October ,2014.00
Government,United States of America, Velo , Medium ,1421.00,120.00,20.00,28420.00,1989.40,26430.60,14210.00,12220.60,41286.00,12.00, December ,2013.00
Small Business,United States of America, Velo , Medium ,1372.00,120.00,300.00," $4,11,600.00 ",28812.00," $3,82,788.00 "," $3,43,000.00 ",39788.00,41651.00,12.00, December ,2014.00
